era,species,num_legs,num_arms,symmetry,diet,skin_type,eyes,eye_position,size_m,oxygen_pct,nitrogen_pct,uv_level,humidity,water_presence
modern,tiger,4,0,bilateral,carnivore,fur,2,front,2.8,21.0,78.0,medium,medium,medium
modern,rhino,4,0,bilateral,herbivore,skin,2,side,3.5,21.0,78.0,medium,medium,medium
modern,tapir,4,0,bilateral,herbivore,skin,2,side,2.0,21.0,78.0,medium,high,high
modern,sloth,4,0,bilateral,herbivore,fur,2,front,0.6,21.0,78.0,low,high,high
modern,beetle,6,0,bilateral,herbivore,exoskeleton,2,front,0.01,21.0,78.0,high,medium,low
modern,jellyfish,0,0,radial,carnivore,gelatinous,0,none,0.3,21.0,78.0,high,high,high
modern,starfish,0,0,radial,carnivore,skin,0,none,0.4,21.0,78.0,high,high,high
modern,chimpanzee,2,2,bilateral,omnivore,fur,2,front,1.2,21.0,78.0,medium,medium,medium
modern,koala,4,0,bilateral,herbivore,fur,2,side,0.85,21.0,78.0,medium,medium,medium
modern,hedgehog,4,0,bilateral,omnivore,spines,2,front,0.25,21.0,78.0,medium,medium,medium
jurassic,Camptosaurus,4,0,bilateral,herbivore,scales,2,side,5.0,28.0,70.0,high,medium,medium
jurassic,Dryosaurus,2,2,bilateral,herbivore,scales,2,side,4.0,28.0,70.0,high,medium,medium
jurassic,Pachycephalosaurus,2,2,bilateral,herbivore,scales,2,side,4.5,28.0,70.0,high,medium,medium
jurassic,Camarasaurus,4,0,bilateral,herbivore,scales,2,side,18.0,28.0,70.0,high,high,high
jurassic,Torvosaurus,2,2,bilateral,carnivore,scales,2,front,10.0,28.0,70.0,high,medium,medium
jurassic,Barapasaurus,4,0,bilateral,herbivore,scales,2,side,12.0,28.0,70.0,high,high,high
jurassic,Rhoetosaurus,4,0,bilateral,herbivore,scales,2,side,15.0,28.0,70.0,high,high,high
jurassic,Dandakosaurus,2,2,bilateral,carnivore,scales,2,front,4.5,28.0,70.0,high,medium,medium
jurassic,Gasosaurus,2,2,bilateral,carnivore,scales,2,front,3.8,28.0,70.0,high,medium,medium
jurassic,Haplocanthosaurus,4,0,bilateral,herbivore,scales,2,side,12.0,28.0,70.0,high,high,high
modern,elephant,4,0,bilateral,herbivore,skin,2,side,3.669489460753785,21.312479242922027,78.21050493984468,high,medium,low
modern,housefly,6,0,bilateral,herbivore,exoskeleton,2,around,0.1,19.289702349506012,78.3820519643372,medium,low,none
modern,frog,4,0,bilateral,carnivore,moist skin,2,front,0.1,21.76781826494282,76.72107891711478,high,high,high
modern,hawk,2,2,bilateral,carnivore,feathers,2,front,0.6242210105729754,21.01164101808558,77.59944879490776,high,medium,medium
modern,shark,0,0,bilateral,carnivore,scales,2,side,2.234755260945892,20.789412263427582,79.65250595103254,medium,high,high
jurassic,Allosaurus,2,2,bilateral,carnivore,scales,2,front,8.981374938789568,28.731358468691433,68.65652918833452,low,medium,high
jurassic,Compsognathus,2,2,bilateral,carnivore,scales,2,front,0.7882277091987202,28.40372517666194,69.85147851214715,medium,medium,medium
jurassic,Cryolophosaurus,2,2,bilateral,carnivore,scales,2,front,5.893880888482271,26.66082897951669,68.39634031293299,high,high,medium
jurassic,Cetiosaurus,4,0,bilateral,herbivore,scales,2,side,11.668945705834226,27.213799451435747,70.9189446063138,high,high,none
jurassic,Megalosaurus,2,2,bilateral,carnivore,scales,2,front,6.27340739761875,27.193488712108806,71.16619464448897,high,medium,high
modern,octopus,0,8,radial,carnivore,soft skin,2,front,0.282266961493072,22.379817127607495,78.26284018126793,medium,low,medium
modern,cobra,0,0,bilateral,carnivore,scales,2,front,1.7452314369992779,20.90910591034826,79.66776363789403,medium,medium,medium
modern,chameleon,4,0,bilateral,insectivore,scales,2,front,0.8018605913163173,21.759764853326644,78.64648319475047,medium,medium,medium
modern,emperor_penguin,2,2,bilateral,carnivore,feathers,2,front,0.8664558529321369,20.545329054157946,78.51002555523122,low,high,high
modern,blue_whale,0,0,bilateral,carnivore,blubber,2,side,20.0,22.344590701816774,76.27211387265704,high,high,low
modern,kangaroo,2,2,bilateral,herbivore,fur,2,front,1.3675896109826524,20.930494085372395,79.32260396416847,medium,medium,medium
modern,giraffe,4,0,bilateral,herbivore,fur,2,side,5.754149629722209,19.90695467290975,77.20077977449724,low,high,none
modern,wolf,4,0,bilateral,carnivore,fur,2,front,1.422572339058337,21.57361373158077,79.3372842955936,medium,medium,medium
modern,camel,4,0,bilateral,herbivore,fur,2,side,2.2390145880471586,20.73288988050216,78.42480946954913,high,low,low
modern,zebra,4,0,bilateral,herbivore,fur,2,side,2.374701793796749,21.85787886534733,79.01987221408933,high,medium,low
jurassic,Stegosaurus,4,0,bilateral,herbivore,scales+plates,2,side,9.140753101160824,27.961153786527166,68.91860519834148,high,medium,medium
jurassic,Diplodocus,4,0,bilateral,herbivore,scales,2,side,20.0,28.286407255921795,70.5898980128245,high,high,high
jurassic,Velociraptor,2,2,bilateral,carnivore,feathers,2,front,1.876106420018833,26.621027034066508,68.77202307703193,high,medium,none
jurassic,Brachiosaurus,4,0,bilateral,herbivore,scales,2,side,20.0,27.152685512056234,68.44307470728829,high,high,high
jurassic,Ankylosaurus,4,0,bilateral,herbivore,scutes,2,side,6.0510585314622825,27.351464687992912,70.1416688851208,high,low,medium
jurassic,Pteranodon,2,2,bilateral,carnivore,membrane wings,2,front,1.8875322941433785,27.584032105521956,69.61595009596414,high,medium,medium
jurassic,Ichthyosaurus,0,0,bilateral,carnivore,scales,2,side,2.313321238543537,27.934628443947307,70.24425228997724,high,high,high
jurassic,Rhamphorhynchus,2,2,bilateral,carnivore,membrane wings,2,front,1.050350505171528,26.505139939005055,70.72286851194528,high,high,high
jurassic,Archaeopteryx,2,2,bilateral,carnivore,feathers,2,front,0.5502275127078393,28.52020808476058,70.60092693442321,high,medium,medium
jurassic,Plesiosaurus,0,4,bilateral,carnivore,scales,2,side,3.0444215124059397,28.159951748256905,70.30875083874224,high,high,high
modern,tiger,4,0,bilateral,carnivore,fur,2,front,2.791095498570105,21.142586507774134,77.28251388759578,medium,medium,medium
modern,rhino,4,0,bilateral,herbivore,skin,2,side,3.638278093164075,20.99639923507556,79.44013065319612,high,medium,none
modern,tapir,4,0,bilateral,herbivore,skin,2,side,2.260930039897148,20.876705527697847,78.43908839036868,medium,high,low
modern,sloth,4,0,bilateral,herbivore,fur,2,front,0.3667207247021077,22.65218851501982,77.4102951633602,medium,high,high
modern,beetle,6,0,bilateral,herbivore,exoskeleton,2,front,0.1,21.23572986533139,78.92783047997013,medium,high,low
modern,jellyfish,0,0,radial,carnivore,gelatinous,0,none,0.5632875428674895,21.823793610611773,78.88548133079028,high,high,none
modern,starfish,0,0,radial,carnivore,skin,0,none,0.30084443700625385,20.427102325724448,76.43452144134456,high,low,high
modern,chimpanzee,2,2,bilateral,omnivore,fur,2,front,1.1839023266062159,20.358309978222273,78.64416715811932,medium,medium,medium
modern,koala,4,0,bilateral,herbivore,fur,2,side,0.8757114703589324,21.512753016233706,81.47946264549425,medium,low,low
modern,hedgehog,4,0,bilateral,omnivore,spines,2,front,0.2500261255342266,20.745838915867843,81.51721461277491,medium,low,medium
jurassic,Camptosaurus,4,0,bilateral,herbivore,scales,2,side,5.087406239473794,28.127688102292574,69.96707878565243,high,high,medium
jurassic,Dryosaurus,2,2,bilateral,herbivore,scales,2,side,3.8285035549233197,27.399989342963874,68.12046313402793,medium,medium,medium
jurassic,Pachycephalosaurus,2,2,bilateral,herbivore,scales,2,side,4.511539774986747,29.59051014028487,69.9695612974585,high,medium,medium
jurassic,Camarasaurus,4,0,bilateral,herbivore,scales,2,side,18.376160389625703,27.654141523038284,70.62972493663847,high,high,high
jurassic,Torvosaurus,2,2,bilateral,carnivore,scales,2,front,9.725483975454008,27.630779203576353,69.81468978809198,high,medium,medium
jurassic,Barapasaurus,4,0,bilateral,herbivore,scales,2,side,11.941245318300451,27.69241922033917,69.90517686562733,high,high,medium
jurassic,Rhoetosaurus,4,0,bilateral,herbivore,scales,2,side,15.085648695712973,28.05955039070483,71.65376953988405,low,low,none
jurassic,Dandakosaurus,2,2,bilateral,carnivore,scales,2,front,4.318522240268563,27.20886324315039,70.30279584368296,high,low,medium
jurassic,Gasosaurus,2,2,bilateral,carnivore,scales,2,front,3.822729766489048,28.316353950559872,70.33648778292957,low,high,none
jurassic,Haplocanthosaurus,4,0,bilateral,herbivore,scales,2,side,11.917259747249888,28.32796056867582,70.95995182496085,high,high,low
modern,elephant,4,0,bilateral,herbivore,skin,2,side,3.4420681283172354,22.058387293478052,78.14898957107664,medium,high,high
modern,housefly,6,0,bilateral,herbivore,exoskeleton,2,around,0.1,20.8520628853677,78.8948765198705,medium,high,none
modern,frog,4,0,bilateral,carnivore,moist skin,2,front,0.1,23.333122779944663,77.84603912920096,high,high,high
modern,hawk,2,2,bilateral,carnivore,feathers,2,front,0.752522615617868,22.24494605477964,79.01581678296958,high,high,medium
modern,shark,0,0,bilateral,carnivore,scales,2,side,2.1192463959559436,19.82920280957923,77.73472739164565,medium,medium,high
jurassic,Allosaurus,2,2,bilateral,carnivore,scales,2,front,9.157217411367585,29.19284321075373,68.91079324459395,high,medium,medium
jurassic,Compsognathus,2,2,bilateral,carnivore,scales,2,front,0.4325211207779061,28.773644581774548,69.59783319179974,high,high,medium
jurassic,Cryolophosaurus,2,2,bilateral,carnivore,scales,2,front,5.976330602488536,30.33422731907632,71.17738310864029,high,medium,medium
jurassic,Cetiosaurus,4,0,bilateral,herbivore,scales,2,side,11.976503992300307,27.022757610094686,71.70237593470885,low,high,high
jurassic,Megalosaurus,2,2,bilateral,carnivore,scales,2,front,6.195580815659243,27.537219517664372,69.2560466682297,high,medium,medium
modern,octopus,0,8,radial,carnivore,soft skin,2,front,0.11016972044452383,20.967967753442547,77.47663494066194,medium,high,high
modern,cobra,0,0,bilateral,carnivore,scales,2,front,1.5643512781519422,20.65748470735805,77.0420800326886,high,low,medium
modern,chameleon,4,0,bilateral,insectivore,scales,2,front,0.13918319808194515,20.950755662640578,77.93399260323164,medium,medium,medium
modern,emperor_penguin,2,2,bilateral,carnivore,feathers,2,front,0.8162893753715903,21.022716155138102,77.31192651780084,low,low,medium
modern,blue_whale,0,0,bilateral,carnivore,blubber,2,side,20.0,22.73035025159799,79.68819037531398,low,high,high
modern,kangaroo,2,2,bilateral,herbivore,fur,2,front,1.6673273900134464,20.107234246031837,78.16321464251843,medium,medium,medium
modern,giraffe,4,0,bilateral,herbivore,fur,2,side,5.612401290793038,22.619251076987524,78.82320837489245,high,medium,medium
modern,wolf,4,0,bilateral,carnivore,fur,2,front,1.0766316241491418,21.466539700046663,78.54475862688156,medium,medium,none
modern,camel,4,0,bilateral,herbivore,fur,2,side,1.9635694882218564,19.976921609806148,78.36686376051388,high,medium,low
modern,zebra,4,0,bilateral,herbivore,fur,2,side,2.2039025391102447,21.473554952323035,76.813659777163,high,medium,high
jurassic,Stegosaurus,4,0,bilateral,herbivore,scales+plates,2,side,9.01078751594802,26.55810295503511,69.3424403164776,medium,medium,low
jurassic,Diplodocus,4,0,bilateral,herbivore,scales,2,side,20.0,27.73356365755593,70.22609614284143,high,high,high
jurassic,Velociraptor,2,2,bilateral,carnivore,feathers,2,front,2.0215010985132356,28.237069708247283,70.50775509246142,low,medium,low
jurassic,Brachiosaurus,4,0,bilateral,herbivore,scales,2,side,20.0,27.731906743285155,70.04047459121728,high,high,high
jurassic,Ankylosaurus,4,0,bilateral,herbivore,scutes,2,side,5.888375071484247,29.331913305934872,69.56311638885308,high,high,medium
jurassic,Pteranodon,2,2,bilateral,carnivore,membrane wings,2,front,1.7003505035584816,28.312670930607357,70.81149446487042,low,medium,high
jurassic,Ichthyosaurus,0,0,bilateral,carnivore,scales,2,side,2.6464351468549254,27.3737572608236,69.388062196643,medium,low,high
jurassic,Rhamphorhynchus,2,2,bilateral,carnivore,membrane wings,2,front,1.2686347280145007,27.93108362155422,70.7247777474593,high,medium,high
jurassic,Archaeopteryx,2,2,bilateral,carnivore,feathers,2,front,0.46619114185789245,27.822891676264202,69.35799913179466,high,medium,none
jurassic,Plesiosaurus,0,4,bilateral,carnivore,scales,2,side,3.7984088876675473,27.894742085391822,69.78877810159183,high,high,high
modern,tiger,4,0,bilateral,carnivore,fur,2,front,3.2574005921730778,22.51442940932343,78.11915629184485,high,medium,low
modern,rhino,4,0,bilateral,herbivore,skin,2,side,3.2631201012457356,20.896921695171493,76.36381602798949,high,high,low
modern,tapir,4,0,bilateral,herbivore,skin,2,side,1.9538363959043623,20.88094186170359,78.57102968865705,medium,high,high
modern,sloth,4,0,bilateral,herbivore,fur,2,front,0.6328529324584672,20.371691686020522,77.72330012360015,low,medium,high
modern,beetle,6,0,bilateral,herbivore,exoskeleton,2,front,0.1,20.903254858860983,76.47249935944147,high,medium,low
modern,jellyfish,0,0,radial,carnivore,gelatinous,0,none,0.30817876014502305,22.715616523886716,79.34976115603631,high,high,high
modern,starfish,0,0,radial,carnivore,skin,0,none,0.17737439556961201,20.541255084492555,76.74705831799622,high,high,high
modern,chimpanzee,2,2,bilateral,omnivore,fur,2,front,1.099682908892217,19.635713199421236,78.80605154565288,medium,medium,medium
modern,koala,4,0,bilateral,herbivore,fur,2,side,0.700025639546908,21.927530119483222,77.46735248836727,medium,medium,medium
modern,hedgehog,4,0,bilateral,omnivore,spines,2,front,0.29215183217019586,20.215887000580356,78.84427292577845,medium,medium,medium
jurassic,Camptosaurus,4,0,bilateral,herbivore,scales,2,side,4.954304850498591,28.296477245667738,69.14796187439684,high,medium,medium
jurassic,Dryosaurus,2,2,bilateral,herbivore,scales,2,side,4.0972702219557275,27.57570712184264,68.43464974553265,high,medium,high
jurassic,Pachycephalosaurus,2,2,bilateral,herbivore,scales,2,side,4.681692521430338,26.672209417906657,69.96970797112209,low,medium,medium
jurassic,Camarasaurus,4,0,bilateral,herbivore,scales,2,side,18.194372993449825,27.55322327526562,69.68807533176802,high,medium,high
jurassic,Torvosaurus,2,2,bilateral,carnivore,scales,2,front,10.235015799728242,28.13902305423036,70.38844915186566,high,medium,medium
jurassic,Barapasaurus,4,0,bilateral,herbivore,scales,2,side,11.906963906845952,29.946529615548698,71.1531093533666,high,high,high
jurassic,Rhoetosaurus,4,0,bilateral,herbivore,scales,2,side,15.267401058909787,28.548161127940933,69.39925143888418,high,low,none
jurassic,Dandakosaurus,2,2,bilateral,carnivore,scales,2,front,4.356204356327853,29.695481145125623,71.00021702204423,high,medium,medium
jurassic,Gasosaurus,2,2,bilateral,carnivore,scales,2,front,4.22374783728879,29.33363218836486,69.2706627780813,high,medium,medium
jurassic,Haplocanthosaurus,4,0,bilateral,herbivore,scales,2,side,11.739117296084618,26.741827473146206,70.93959825121829,medium,high,high
modern,elephant,4,0,bilateral,herbivore,skin,2,side,3.3534030229999607,20.07086110962582,78.68904403681296,low,medium,high
modern,housefly,6,0,bilateral,herbivore,exoskeleton,2,around,0.1,18.83068895675461,78.91927716371931,medium,high,none
modern,frog,4,0,bilateral,carnivore,moist skin,2,front,0.1,21.217840819272308,79.14557313028493,high,high,high
modern,hawk,2,2,bilateral,carnivore,feathers,2,front,0.8375437813270608,23.040500963311814,79.29491401250365,medium,medium,low
modern,shark,0,0,bilateral,carnivore,scales,2,side,2.5155377125800062,21.97779857412271,76.61421500750265,high,medium,high
jurassic,Allosaurus,2,2,bilateral,carnivore,scales,2,front,8.97103608363785,25.819635514076904,70.38932795435727,high,high,low
jurassic,Compsognathus,2,2,bilateral,carnivore,scales,2,front,0.5434336717345297,27.956365281680977,70.41569170043515,high,high,medium
jurassic,Cryolophosaurus,2,2,bilateral,carnivore,scales,2,front,6.110806607888708,29.337484225031645,71.19209921443262,medium,medium,medium
jurassic,Cetiosaurus,4,0,bilateral,herbivore,scales,2,side,12.493558334661845,26.744272499602694,71.11307101750813,medium,high,high
jurassic,Megalosaurus,2,2,bilateral,carnivore,scales,2,front,6.33882090739867,27.983643742972962,69.95328665089714,low,medium,medium
modern,octopus,0,8,radial,carnivore,soft skin,2,front,0.24153993365573817,21.85968138591797,76.68140118834732,high,low,high
modern,cobra,0,0,bilateral,carnivore,scales,2,front,1.3813147021131584,21.453823484559752,78.50135296771882,medium,medium,medium
modern,chameleon,4,0,bilateral,insectivore,scales,2,front,0.2906296493666195,21.388498363787175,76.73878375628001,medium,medium,medium
modern,emperor_penguin,2,2,bilateral,carnivore,feathers,2,front,0.950542225888539,21.895152076688646,76.51829755830423,medium,high,high
modern,blue_whale,0,0,bilateral,carnivore,blubber,2,side,20.0,19.668893869891583,79.53866231825114,low,high,high
modern,kangaroo,2,2,bilateral,herbivore,fur,2,front,1.6056607797773201,20.664458171297586,79.44031548064865,low,low,medium
modern,giraffe,4,0,bilateral,herbivore,fur,2,side,5.544640361259221,20.467679291980406,78.12403802772413,high,high,low
modern,wolf,4,0,bilateral,carnivore,fur,2,front,1.3160539085805874,19.942114010150643,76.59894285517676,medium,medium,medium
modern,camel,4,0,bilateral,herbivore,fur,2,side,2.663304973976904,21.927704626380343,79.9631712110781,high,low,low
modern,zebra,4,0,bilateral,herbivore,fur,2,side,2.47945561612331,20.968142058469258,77.29869122593765,medium,medium,medium
jurassic,Stegosaurus,4,0,bilateral,herbivore,scales+plates,2,side,8.710098541902534,28.32285372043306,68.89676493361038,high,medium,medium
jurassic,Diplodocus,4,0,bilateral,herbivore,scales,2,side,20.0,28.95319469762377,68.1858366968463,high,medium,high
jurassic,Velociraptor,2,2,bilateral,carnivore,feathers,2,front,2.076015939204542,27.231803562506798,68.44656377580988,high,medium,medium
jurassic,Brachiosaurus,4,0,bilateral,herbivore,scales,2,side,20.0,26.294286757216515,69.37102291436135,high,high,high
jurassic,Ankylosaurus,4,0,bilateral,herbivore,scutes,2,side,6.128571691707708,28.455929845398344,69.43241292513383,high,medium,medium
jurassic,Pteranodon,2,2,bilateral,carnivore,membrane wings,2,front,1.8458280849733928,27.815061155304644,69.59874589782495,high,low,low
jurassic,Ichthyosaurus,0,0,bilateral,carnivore,scales,2,side,2.4727428027577885,28.806780455880503,69.15528068631728,high,high,high
jurassic,Rhamphorhynchus,2,2,bilateral,carnivore,membrane wings,2,front,0.7725759623234261,28.443667489209478,69.39658708950067,high,medium,medium
jurassic,Archaeopteryx,2,2,bilateral,carnivore,feathers,2,front,0.5661493453674042,28.017606818548842,69.29536037107998,high,low,high
jurassic,Plesiosaurus,0,4,bilateral,carnivore,scales,2,side,3.445682557068935,27.680158783772555,68.00265956005666,high,high,high
modern,tiger,4,0,bilateral,carnivore,fur,2,front,2.9215299041494873,23.3024163983041,77.41310158366318,high,medium,low
modern,rhino,4,0,bilateral,herbivore,skin,2,side,3.3468371697020602,21.151489747560777,78.59800234193197,high,medium,medium
modern,tapir,4,0,bilateral,herbivore,skin,2,side,1.9666968186929024,20.346927694161533,79.4416512187591,medium,high,low
modern,sloth,4,0,bilateral,herbivore,fur,2,front,0.7943158420282065,18.338264623655757,78.47046012229045,low,high,high
modern,beetle,6,0,bilateral,herbivore,exoskeleton,2,front,0.1,20.174763601645363,78.1339248179324,low,medium,high
modern,jellyfish,0,0,radial,carnivore,gelatinous,0,none,0.1,22.563298615620667,77.99594389065658,low,high,high
modern,starfish,0,0,radial,carnivore,skin,0,none,0.9044605910434115,21.664176524966,77.88522563753779,high,high,high
modern,chimpanzee,2,2,bilateral,omnivore,fur,2,front,1.1253601199464767,22.603772260634504,77.66259383409363,medium,medium,medium
modern,koala,4,0,bilateral,herbivore,fur,2,side,0.9591398757969553,22.241712133717336,75.4707302974612,low,medium,medium
modern,hedgehog,4,0,bilateral,omnivore,spines,2,front,0.23422894256600096,21.967957654594137,77.90575207157147,medium,medium,low
jurassic,Camptosaurus,4,0,bilateral,herbivore,scales,2,side,5.3239271651000895,27.506207287132664,71.56022591010945,high,high,medium
jurassic,Dryosaurus,2,2,bilateral,herbivore,scales,2,side,4.08092463324223,27.627059390684476,71.0623451970288,medium,medium,high
jurassic,Pachycephalosaurus,2,2,bilateral,herbivore,scales,2,side,4.726707379392539,26.48522206281412,71.72689794974468,high,medium,medium
jurassic,Camarasaurus,4,0,bilateral,herbivore,scales,2,side,18.241624968681155,28.943587656499986,69.78174445365677,high,high,low
jurassic,Torvosaurus,2,2,bilateral,carnivore,scales,2,front,9.34656929676181,27.881495725420624,70.81345028942664,high,low,medium
jurassic,Barapasaurus,4,0,bilateral,herbivore,scales,2,side,11.917047741335123,28.335011734838723,68.72668249306963,medium,high,low
jurassic,Rhoetosaurus,4,0,bilateral,herbivore,scales,2,side,14.965817606055438,27.080073788733365,69.81291787116014,high,high,high
jurassic,Dandakosaurus,2,2,bilateral,carnivore,scales,2,front,4.612656737825599,28.589766296980933,70.44351960932566,high,medium,medium
jurassic,Gasosaurus,2,2,bilateral,carnivore,scales,2,front,3.7216967790221473,27.968298067780527,68.26321331868458,high,medium,high
jurassic,Haplocanthosaurus,4,0,bilateral,herbivore,scales,2,side,12.241657512410631,26.320373865975647,71.43437982024017,medium,high,low
modern,elephant,4,0,bilateral,herbivore,skin,2,side,3.400098558696199,20.039708330676895,77.16797435152188,low,low,high
modern,housefly,6,0,bilateral,herbivore,exoskeleton,2,around,0.1,21.536086713668993,77.96446546033852,medium,high,none
modern,frog,4,0,bilateral,carnivore,moist skin,2,front,0.1,21.983735838635706,77.84896885535665,high,low,medium
modern,hawk,2,2,bilateral,carnivore,feathers,2,front,0.7035511918337373,21.596979677479602,75.60984845038546,high,medium,medium
modern,shark,0,0,bilateral,carnivore,scales,2,side,2.7882945942355137,20.371412308098698,79.38671152198798,medium,medium,high
jurassic,Allosaurus,2,2,bilateral,carnivore,scales,2,front,9.254636838678527,27.246923351756074,69.29829116018621,high,medium,medium
jurassic,Compsognathus,2,2,bilateral,carnivore,scales,2,front,0.8116277621415766,28.34983337979276,70.3340468707214,high,medium,medium
jurassic,Cryolophosaurus,2,2,bilateral,carnivore,scales,2,front,5.742899196156129,29.793500553210524,69.47261517071877,low,medium,medium
jurassic,Cetiosaurus,4,0,bilateral,herbivore,scales,2,side,12.204009336853996,28.55380301594685,69.48855264010874,high,low,high
jurassic,Megalosaurus,2,2,bilateral,carnivore,scales,2,front,5.648226794847881,27.977538871592028,69.45264806538593,high,high,medium
modern,octopus,0,8,radial,carnivore,soft skin,2,front,0.42376494586402846,20.171190045380534,78.42731985773517,medium,high,high
modern,cobra,0,0,bilateral,carnivore,scales,2,front,1.420443844314628,21.175087854241138,76.61334711493997,medium,medium,medium
modern,chameleon,4,0,bilateral,insectivore,scales,2,front,0.3939436326798264,21.361218819675333,79.18644861418427,medium,medium,medium
modern,emperor_penguin,2,2,bilateral,carnivore,feathers,2,front,0.9371275462061616,19.057828560342344,77.57920792558099,low,low,low
modern,blue_whale,0,0,bilateral,carnivore,blubber,2,side,20.0,22.559291305193597,78.4889411059234,low,high,high
modern,kangaroo,2,2,bilateral,herbivore,fur,2,front,1.6230067945152673,19.429221846222735,77.95867265372853,low,medium,high
modern,giraffe,4,0,bilateral,herbivore,fur,2,side,5.811174755466135,21.60835548087341,76.19870294290159,medium,medium,medium
modern,wolf,4,0,bilateral,carnivore,fur,2,front,0.9360693007709607,22.13480364986977,75.537775549109,medium,medium,medium
modern,camel,4,0,bilateral,herbivore,fur,2,side,1.99462118534365,21.313618168202158,78.26680051678291,high,low,medium
modern,zebra,4,0,bilateral,herbivore,fur,2,side,1.8541471442885558,19.62061487572651,78.56492659059967,high,medium,medium
jurassic,Stegosaurus,4,0,bilateral,herbivore,scales+plates,2,side,8.965286346402227,28.005851262652225,69.26486282869271,high,medium,low
jurassic,Diplodocus,4,0,bilateral,herbivore,scales,2,side,20.0,27.762281054131503,70.55125897502963,high,high,high
jurassic,Velociraptor,2,2,bilateral,carnivore,feathers,2,front,2.114631429759754,26.827399169929564,72.32035661922488,high,medium,low
jurassic,Brachiosaurus,4,0,bilateral,herbivore,scales,2,side,20.0,28.40648076964897,70.21267480949807,high,high,low
jurassic,Ankylosaurus,4,0,bilateral,herbivore,scutes,2,side,5.801232603216354,28.961815122203177,69.3908421542925,high,low,medium
jurassic,Pteranodon,2,2,bilateral,carnivore,membrane wings,2,front,2.0116808049940333,26.808401941554553,70.6729813533057,low,medium,medium
jurassic,Ichthyosaurus,0,0,bilateral,carnivore,scales,2,side,2.667384104231196,28.99914763837993,68.6067921821107,low,high,none
jurassic,Rhamphorhynchus,2,2,bilateral,carnivore,membrane wings,2,front,0.9564251933645747,27.998289399362484,71.94336589576433,high,medium,medium
